Funding Cycle,County Name,Visit Type,Item,Variable,Variable Detail,Frequency Count,Percent of Total Frequency,Date Closed,Location
2014-2019,Onondaga,Initial visits,Housing condition,Deteriorated paint inside,Unknown,6,0.2,10/27/2017,"(43.065629, -76.168033)"
2014-2019,Westchester,Revisits,Housing condition,Effective housecleaning,Yes,21,80.8,10/27/2017,"(41.039278, -73.805386)"
2014-2019,Westchester,Initial visits,Housing condition,Wall-to-wall carpeting or large rugs,Yes,14,7.6,10/27/2017,"(41.039278, -73.805386)"
2014-2019,Onondaga,Initial visits,Housing condition,Smoker in home,Yes,1443,49,10/27/2017,"(43.065629, -76.168033)"
2014-2019,Orange,Initial visits,Housing information,Rental assistance,Yes,1335,53,10/27/2017,"(41.422459, -74.241929)"
2009-2014,Clinton,Revisits,Housing condition,Smoking limited to certain rooms,Yes,91,70.5,10/27/2017,"(44.731944, -73.548883)"
2014-2019,Schenectady,Revisits,Housing condition,Significant dust accumulation,Unknown,2,0.6,10/27/2017,"(42.809233, -73.946838)"
2014-2019,Orange,Initial visits,Housing information,Age of building,Post-1978,82,3,10/27/2017,"(41.422459, -74.241929)"
2014-2019,Albany,Revisits,Housing condition,Chemical smell indoors,Unknown,34,14.6,10/27/2017,"(42.678066, -73.814233)"
2014-2019,Oneida,Initial visits,Housing condition,Working carbon monoxide detector,Yes,523,48.2,10/27/2017,"(43.149482, -75.361773)"
2009-2014,Westchester,Revisits,Housing condition,Food/harborage for cockroaches,No,231,97.5,10/27/2017,"(41.039278, -73.805386)"
2009-2014,Schenectady,Revisits,Housing condition,"Cockroaches, evidence or reported",No,166,86.5,10/27/2017,"(42.809233, -73.946838)"
2014-2019,Westchester,Revisits,Housing condition,Furnace filter dirty or missing,Unknown,7,26.9,10/27/2017,"(41.039278, -73.805386)"
2009-2014,Orange,Initial visits,Housing information,Owner occupied,Yes,210,97.2,10/27/2017,"(41.422459, -74.241929)"
2014-2019,Schenectady,Initial visits,Housing condition,Exits function properly,Unknown,12,0.9,10/27/2017,"(42.809233, -73.946838)"
2014-2019,Cayuga,Revisits,Housing condition,"Mice, evidence or reported",Yes,1,0.6,10/27/2017,"(42.940095, -76.560755)"
2009-2014,Erie,Initial visits,Housing condition,Smoke detectors audible from sleeping spaces,No,2109,49.7,10/27/2017,"(42.888143, -78.795544)"
2014-2019,NYC-Bronx,Revisits,Housing condition,Deteriorated paint inside,Not applicable,81,,10/27/2017,"(40.85589, -73.868294)"
2014-2019,All counties,Initial visits,Housing condition,Furnace filter dirty or missing,No,19092,70.3,10/27/2017,
2006-2009,Orange,Initial visits,Housing condition,Plumbing leaks,No,839,89.2,10/27/2017,"(41.422459, -74.241929)"
2014-2019,Rockland,Initial visits,Housing information,Owner occupied,No,13,1.3,10/27/2017,"(41.127287, -74.017033)"
2014-2019,Tioga,Initial visits,Housing condition,Working carbon monoxide detector,Yes,377,43.8,10/27/2017,"(42.120252, -76.29595)"
2014-2019,Rockland,Revisits,Housing condition,Improperly stored garbage near building,Improved,2,2,10/27/2017,"(41.127287, -74.017033)"
2014-2019,Cortland,Initial visits,Housing condition,Smoking allowed in home,Yes,182,96.8,10/27/2017,"(42.597101, -76.143291)"
2014-2019,NYC-Queens,Initial visits,Housing condition,"Mold or mildew, observed or smell",Yes,2,20,10/27/2017,"(40.749338, -73.789673)"
2014-2019,Clinton,Revisits,Housing condition,"Mold or mildew, observed or smell",Yes,23,5.1,10/27/2017,"(44.731944, -73.548883)"
2009-2014,Westchester,Initial visits,Housing condition,Smoking allowed in home,Unknown,15,34.9,10/27/2017,"(41.039278, -73.805386)"
2006-2009,Westchester,Revisits,Housing condition,Furnace filter dirty or missing,No,36,33.3,10/27/2017,"(41.039278, -73.805386)"
2014-2019,NYC-Manhattan,Initial visits,Housing condition,Smell of scented products,Yes,2,4.5,10/27/2017,"(40.726966, -74.005966)"
2006-2009,Orange,Initial visits,Housing information,Units in building,1 unit,111,11.8,10/27/2017,"(41.422459, -74.241929)"
2014-2019,NYC-Queens,Initial visits,Housing condition,"Walls, ceilings, stairs in good repair",Yes,5,50,10/27/2017,"(40.749338, -73.789673)"
2009-2014,Cayuga,Initial visits,Housing condition,Deteriorated paint inside,Not applicable,1,,10/27/2017,"(42.940095, -76.560755)"
2014-2019,Cayuga,Revisits,Housing condition,Deteriorated paint outside,No,59,68.6,10/27/2017,"(42.940095, -76.560755)"
2014-2019,Cortland,Revisits,Housing condition,Improperly stored garbage inside,Unknown,2,0.9,10/27/2017,"(42.597101, -76.143291)"
2009-2014,Niagara,Revisits,Housing condition,Deteriorated paint outside,Unknown,5,0.4,10/27/2017,"(43.134634, -78.856419)"
2006-2009,Monroe,Initial visits,Housing information,Age of building,1950-1978,161,16.2,10/27/2017,"(43.161748, -77.620143)"
2006-2009,Rockland,Initial visits,Housing information,Units in building,3 units,22,2.5,10/27/2017,"(41.127287, -74.017033)"
2014-2019,NYC-Queens,Revisits,Housing condition,Plumbing leaks,No,4,100,10/27/2017,"(40.749338, -73.789673)"
2014-2019,Cayuga,Initial visits,Housing condition,"Walls, ceilings, stairs in good repair",No,176,14.9,10/27/2017,"(42.940095, -76.560755)"
2014-2019,Niagara,Revisits,Housing condition,Humidifier or vaporizer used,No,676,88.4,10/27/2017,"(43.134634, -78.856419)"
2006-2009,Oneida,Initial visits,Respondent demographics,Receives public assistance,Unknown,12,1.6,10/27/2017,"(43.149482, -75.361773)"
2014-2019,Clinton,Initial visits,Housing condition,Significant clutter,Yes,94,5.8,10/27/2017,"(44.731944, -73.548883)"
2014-2019,Clinton,Initial visits,Housing condition,Furnace filter dirty or missing,Yes,245,15.1,10/27/2017,"(44.731944, -73.548883)"
2009-2014,Monroe,Revisits,Housing condition,Electrical hazards,Yes,6,1,10/27/2017,"(43.161748, -77.620143)"
2009-2014,All counties,Revisits,Housing condition,Wall-to-wall carpeting or large rugs,No,1296,21,10/27/2017,
2006-2009,Oneida,Initial visits,Housing condition,Deteriorated paint inside,Yes,247,46.5,10/27/2017,"(43.149482, -75.361773)"
2014-2019,All counties,Initial visits,Housing condition,Smoking allowed in home,Unknown,162,1.9,10/27/2017,
2009-2014,Clinton,Initial visits,Respondent demographics,Receives public assistance,No,131,6.3,10/27/2017,"(44.731944, -73.548883)"
2014-2019,Monroe,Initial visits,Housing condition,Food/harborage for cockroaches,Yes,21,1.1,10/27/2017,"(43.161748, -77.620143)"
2009-2014,All counties,Revisits,Housing condition,Smoker in home,Yes,2085,33.7,10/27/2017,
2009-2014,Rockland,Revisits,Housing condition,Smoking limited to certain rooms,No,7,53.8,10/27/2017,"(41.127287, -74.017033)"
2014-2019,Niagara,Initial visits,Housing condition,Smell of scented products,Yes,51,3.9,10/27/2017,"(43.134634, -78.856419)"
2014-2019,Rockland,Initial visits,Housing condition,Functional smoke detector on every floor,Unknown,4,0.3,10/27/2017,"(41.127287, -74.017033)"
2014-2019,Cayuga,Initial visits,Housing information,Renter/owner,Own,481,40.8,10/27/2017,"(42.940095, -76.560755)"
2009-2014,Schenectady,Initial visits,Housing information,Units in building,5 units,10,1.2,10/27/2017,"(42.809233, -73.946838)"
2006-2009,Onondaga,Revisits,Housing condition,"Rats, evidence or reported",No,299,97.4,10/27/2017,"(43.065629, -76.168033)"
2006-2009,All counties,Initial visits,Housing condition,Deteriorated paint outside,Not applicable,4127,,10/27/2017,
2009-2014,Erie,Revisits,Housing condition,Functional smoke detectors in common areas,No,371,33,10/27/2017,"(42.888143, -78.795544)"
2006-2009,Schenectady,Revisits,Housing condition,Deteriorated paint inside,Improved,1,1.2,10/27/2017,"(42.809233, -73.946838)"
2014-2019,Erie,Revisits,Housing condition,Plumbing leaks,Yes,3,0.4,10/27/2017,"(42.888143, -78.795544)"
2009-2014,Tompkins,Initial visits,Housing condition,Improperly stored flammables,Unknown,61,3.8,10/27/2017,"(42.461024, -76.478784)"
2014-2019,Clinton,Revisits,Housing condition,Every room has ventilation,Yes,438,97.3,10/27/2017,"(44.731944, -73.548883)"
2009-2014,Onondaga,Initial visits,Housing condition,Improperly stored garbage inside,No,2660,93.5,10/27/2017,"(43.065629, -76.168033)"
2006-2009,Erie,Initial visits,Housing condition,Smoking allowed in home,Unknown,7,0.9,10/27/2017,"(42.888143, -78.795544)"
2014-2019,NYC-Manhattan,Initial visits,Housing condition,Smoke detectors audible from sleeping spaces,Yes,33,75,10/27/2017,"(40.726966, -74.005966)"
2014-2019,All counties,Revisits,Housing condition,"Mice, evidence or reported",No,5060,82,10/27/2017,
2014-2019,Broome,Initial visits,Housing information,Units in building,3 units,66,6.5,10/27/2017,"(42.122015, -75.933191)"
2014-2019,Cayuga,Initial visits,Housing condition,"Rats, evidence or reported",No,1136,96.3,10/27/2017,"(42.940095, -76.560755)"
2006-2009,Monroe,Revisits,Housing condition,Humidifier or vaporizer used,Unknown,2,0.9,10/27/2017,"(43.161748, -77.620143)"
2014-2019,Rockland,Initial visits,Housing information,Renter/owner,"Rent, public",73,5.7,10/27/2017,"(41.127287, -74.017033)"
2006-2009,All counties,Revisits,Housing condition,Smell of scented products,No,2763,83.3,10/27/2017,
2014-2019,NYC-Bronx,Revisits,Housing condition,Significant dust accumulation,Improved,2,2.4,10/27/2017,"(40.85589, -73.868294)"
2014-2019,NYC-Manhattan,Revisits,Housing condition,Electrical hazards,No,15,93.8,10/27/2017,"(40.726966, -74.005966)"
2009-2014,Westchester,Initial visits,Respondent demographics,Race: White,White,267,13.1,10/27/2017,"(41.039278, -73.805386)"
2009-2014,Erie,Revisits,Housing condition,Every room has ventilation,Unknown,1,0.1,10/27/2017,"(42.888143, -78.795544)"
2014-2019,Oneida,Revisits,Housing condition,Working carbon monoxide detector,Improved,63,30.6,10/27/2017,"(43.149482, -75.361773)"
2009-2014,Tompkins,Revisits,Housing condition,Functional smoke detectors in common areas,Yes,6,1.2,10/27/2017,"(42.461024, -76.478784)"
2014-2019,Tioga,Initial visits,Housing condition,Smell of scented products,Unknown,25,2.9,10/27/2017,"(42.120252, -76.29595)"
2009-2014,Monroe,Initial visits,Housing condition,Plumbing leaks,Unknown,1,0,10/27/2017,"(43.161748, -77.620143)"
2014-2019,Tioga,Initial visits,Housing condition,Smoking limited to certain rooms,No,95,49,10/27/2017,"(42.120252, -76.29595)"
2014-2019,Erie,Initial visits,Housing condition,Malfunctioning appliance that could cause indoor a,No,3957,98.9,10/27/2017,"(42.888143, -78.795544)"
2006-2009,Erie,Initial visits,Housing condition,Working carbon monoxide detector,No,2134,76.7,10/27/2017,"(42.888143, -78.795544)"
2006-2009,Rensselaer,Initial visits,Housing condition,Smoking limited to certain rooms,Unknown,24,12.6,10/27/2017,"(42.70098, -73.628669)"
2014-2019,Cortland,Revisits,Housing condition,Improperly stored garbage inside,No,227,98.3,10/27/2017,"(42.597101, -76.143291)"
2014-2019,Rensselaer,Initial visits,Housing condition,Improperly stored flammables,Yes,10,0.7,10/27/2017,"(42.70098, -73.628669)"
2006-2009,Niagara,Revisits,Housing condition,"Mice, evidence or reported",No,580,92.2,10/27/2017,"(43.134634, -78.856419)"
2009-2014,Tompkins,Initial visits,Housing condition,Deteriorated paint outside,Unknown,67,8.3,10/27/2017,"(42.461024, -76.478784)"
